*********************************
***********DIAS***************
*********************************
	L	M	X	J	V	
*********************************
***********SEMANAS***************
*********************************
sem1
sem2
sem3
sem4
sem5

*********************************
***********EDIFICIO A***************
*********************************
100	120	115	120	105	
150	145	130	135	160	
175	180	165	150	155	
150	140	150	135	125	
125	120	110	115	110	

*********************************
***********EDIFICIO D***************
*********************************
40	45	50	45	55	
60	65	70	65	65	
70	70	65	50	55	
40	45	40	35	45	
50	45	50	55	55	

*********************************
***********TOTAL***************
*********************************
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	
0	0	0	0	0	

